Regiões Administrativas;Densidade Populacional (pessoa por km²);População Total atualmente (2024);Taxa média anual de crescimento da população 2020-2025 (%);Taxa média anual de crescimento da população 2025-2030 (%);Estimativa População em  2030;Relevância Comercial;Integração com outros transportes públicos;Trafégo Rodoviário
Ceilândia;1.488;356.361;0,2;-0,1;355.420;9,8;1;8,8
Samambaia;2.197;261.025;1,5;1,7;288.321;6,4;1;8
Plano Piloto;456;245.902;1,3;0,1;250.356;10;1;10
Taguatinga;3.075;215.979;0,9;0,4;221.805;9,6;1;9,7
Guará;4.812;145.168;0,8;1,2;155.243;9,5;1;8
Águas Claras;14.074;129.369;1;0,6;134.599;10;1;9,2
Sobradinho II;457;80.006;1,6;1,3;90.450;5,6;0,5;5
Vicente Pires;2.266;81.256;1,2;2,6;93.067;6,8;0,5;7
Sobradinho;374;75.421;0,5;0,2;76.579;5,6;0,5;7,8
Riacho Fundo II;1.707;75.927;0,9;0,6;78.524;5,7;0,5;6
Sudoeste/Octogonal;6.767;57.672;1;0,8;60.472;9,5;0,5;8,5
Arniqueira;3.174;47.767;0,6;0,3;48.614;4,1;0,3;6
Riacho Fundo;2.223;45.998;1,2;0,8;48.236;5,7;0,5;6,8
Cruzeiro;7.981;30.568;-0,3;-0,5;29.757;7;0,5;7,9
Núcleo Bandeirante;4.309;24.569;0,5;0,4;25.183;6,5;0,5;6,9
Park Way;188;24.078;1;0,4;24.737;8,9;0,8;10
